"","year","catch"
"1",1968,14.63196356
"2",1969,41.74975154
"3",1970,70.85188978
"4",1971,99.68673291
"5",1972,133.26819769
"6",1973,133.56397747
"7",1974,167.1436392
"8",1975,257.0432679
"9",1976,349.4389926
"10",1977,399.4293219
"11",1978,517.4123391
"12",1979,638.2386275
"13",1980,717.4545436
"14",1981,788.9546735
"15",1982,946.2848795
"16",1983,1032.4729585
"17",1984,1128.0445204
"18",1985,3244.216429979
"19",1986,10475.405127405
"20",1987,1347.941484811
"21",1988,1357.54487666
"22",1989,7323.68654023
"23",1990,3901.05146399
"24",1991,5526.72310143
"25",1992,3193.01331919
"26",1993,2289.34607645
"27",1994,3367.43066023
"28",1995,2853.980499415
"29",1996,2217.380178697
"30",1997,1105.777622277
"31",1998,645.536211045
"32",1999,2070.7925251
"33",2000,2134.59908822
"34",2001,1394.034250963
"35",2002,1124.818877938
"36",2003,4019.74028555
"37",2004,2322.447493697
"38",2005,1274.216365629
"39",2006,572.020268378
"40",2007,1338.839653664
"41",2008,895.110624195
"42",2009,748.02935228
"43",2010,774.55398848
"44",2011,2308.841664271
"45",2012,2542.672467339
"46",2013,1706.275108847
"47",2014,1847.425405757
